 *************************************************************************
 ************		    DDFS3D_qua_part1		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Times of iteration:        94
 Computing time    :     40.89 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
    1    5.3033E+00    5.3033E+00    4.7727E+01    6.8369E-03    8.0253E-04    4.8755E-15
    2    1.7678E+00    1.7678E+00    4.7727E+01    8.7672E-03    3.0682E-04    4.5194E-15
    3   -1.7678E+00   -1.7678E+00    4.7727E+01    8.7764E-03   -3.1401E-04    4.5326E-15
    4   -5.3033E+00   -5.3033E+00    4.7727E+01    6.8625E-03   -8.1071E-04    4.9288E-15
    5    5.3033E+00    5.3033E+00    4.3182E+01    7.3014E-03    4.5919E-04    4.8771E-15
    6    1.7678E+00    1.7678E+00    4.3182E+01    9.4889E-03    2.0716E-04    4.5392E-15
    7   -1.7678E+00   -1.7678E+00    4.3182E+01    9.4913E-03   -2.1670E-04    4.5484E-15
    8   -5.3033E+00   -5.3033E+00    4.3182E+01    7.3060E-03   -4.6758E-04    4.9007E-15
    9    5.3033E+00    5.3033E+00    3.8636E+01    7.3569E-03    2.2373E-04    4.9068E-15
   10    1.7678E+00    1.7678E+00    3.8636E+01    9.5665E-03    1.0725E-04    4.5773E-15
   11   -1.7678E+00   -1.7678E+00    3.8636E+01    9.5670E-03   -1.1537E-04    4.5807E-15
   12   -5.3033E+00   -5.3033E+00    3.8636E+01    7.3576E-03   -2.2988E-04    4.9149E-15
   13    5.3033E+00    5.3033E+00    3.4091E+01    7.3385E-03    9.7395E-05    4.9427E-15
   14    1.7678E+00    1.7678E+00    3.4091E+01    9.5294E-03    4.7519E-05    4.6139E-15
   15   -1.7678E+00   -1.7678E+00    3.4091E+01    9.5294E-03   -5.4322E-05    4.6153E-15
   16   -5.3033E+00   -5.3033E+00    3.4091E+01    7.3385E-03   -1.0236E-04    4.9461E-15
   17    5.3033E+00    5.3033E+00    2.9545E+01    7.3154E-03    3.4000E-05    4.9701E-15
   18    1.7678E+00    1.7678E+00    2.9545E+01    9.4896E-03    1.5876E-05    4.6400E-15
   19   -1.7678E+00   -1.7678E+00    2.9545E+01    9.4897E-03   -2.2155E-05    4.6406E-15
   20   -5.3033E+00   -5.3033E+00    2.9545E+01    7.3154E-03   -3.8576E-05    4.9716E-15
