 *************************************************************************
 ************		    DDFS3D_qua_part2		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                                                    
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Computing time    :    223.50 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
    1   -8.3746E-07    6.8572E-08   -4.8755E+00    4.0019E-03   -9.1951E-04    3.4411E-03
    2    7.4350E-07    1.0211E-07   -4.5194E+00    4.5586E-03   -1.1654E-03    1.4158E-03
    3   -7.7664E-07    7.2245E-08   -4.5326E+00    4.1259E-03   -1.4814E-03   -7.7995E-04
    4    4.8599E-07    1.0589E-08   -4.9288E+00    2.7846E-03   -1.7411E-03   -2.9476E-03
    5   -1.1766E-06    6.5512E-08   -4.8771E+00    4.2391E-03   -8.3558E-04    3.3914E-03
    6   -6.2885E-07   -1.2465E-07   -4.5392E+00    4.9357E-03   -9.6001E-04    1.4137E-03
    7    1.7683E-07   -1.1670E-07   -4.5484E+00    4.5135E-03   -1.1762E-03   -7.2483E-04
    8    6.0172E-07    1.3285E-07   -4.9007E+00    3.0284E-03   -1.3093E-03   -2.8608E-03
    9   -1.0533E-06   -9.5074E-09   -4.9068E+00    4.2776E-03   -6.9107E-04    3.3502E-03
   10   -1.0149E-07    1.4636E-08   -4.5773E+00    4.9827E-03   -7.4856E-04    1.3992E-03
   11   -1.3215E-06    7.7119E-08   -4.5807E+00    4.5573E-03   -8.6264E-04   -7.0242E-04
   12   -9.1777E-07   -1.2035E-07   -4.9149E+00    3.0538E-03   -9.2481E-04   -2.8123E-03
   13    1.4408E-06   -9.1442E-09   -4.9427E+00    4.2781E-03   -4.8417E-04    3.3238E-03
   14    5.1386E-07    5.9243E-08   -4.6139E+00    4.9694E-03   -5.0885E-04    1.3894E-03
   15    8.6434E-07    7.8666E-08   -4.6153E+00    4.5395E-03   -5.6164E-04   -6.9300E-04
   16    1.5859E-06    1.3985E-07   -4.9461E+00    3.0400E-03   -5.8894E-04   -2.7847E-03
   17    9.5958E-07   -1.0701E-08   -4.9701E+00    4.2736E-03   -2.3924E-04    3.3097E-03
   18    5.0287E-07   -3.5404E-08   -4.6400E+00    4.9531E-03   -2.4849E-04    1.3842E-03
   19   -1.8595E-06    2.7833E-08   -4.6406E+00    4.5198E-03   -2.6886E-04   -6.8861E-04
   20   -1.2476E-06   -6.4263E-09   -4.9716E+00    3.0250E-03   -2.7923E-04   -2.7702E-03
   21   -1.5619E-06   -4.4085E-09   -4.9799E+00    4.2721E-03    2.3161E-05    3.3057E-03
   22    1.0121E-06   -4.4175E-08   -4.6491E+00    4.9474E-03    2.1982E-05    1.3831E-03
   23    1.2815E-07   -6.9039E-09   -4.6493E+00    4.5128E-03    2.0691E-05   -6.8659E-04
   24   -1.0991E-07    3.4651E-08   -4.9806E+00    3.0198E-03    1.9724E-05   -2.7648E-03
   25   -8.1861E-07    2.5924E-08   -4.9692E+00    4.2755E-03    2.8584E-04    3.3109E-03
   26    1.1604E-06    3.9807E-08   -4.6390E+00    4.9548E-03    2.9263E-04    1.3859E-03
   27   -3.8482E-07   -3.0830E-09   -4.6391E+00    4.5214E-03    3.1016E-04   -6.8624E-04
   28    8.8676E-07   -2.2070E-08   -4.9694E+00    3.0268E-03    3.1839E-04   -2.7672E-03
   29   -4.2521E-07   -4.1941E-08   -4.9413E+00    4.2826E-03    5.3166E-04    3.3263E-03
   30    5.2224E-07   -1.7270E-08   -4.6123E+00    4.9734E-03    5.5365E-04    1.3929E-03
   31   -1.4620E-06    2.2357E-08   -4.6123E+00    4.5432E-03    6.0271E-04   -6.8804E-04
   32   -1.4436E-06    2.0325E-08   -4.9412E+00    3.0440E-03    6.2708E-04   -2.7783E-03
   33    1.4483E-07   -6.6015E-08   -4.9061E+00    4.2860E-03    7.4034E-04    3.3541E-03
   34    1.6605E-06    9.1836E-08   -4.5766E+00    4.9909E-03    7.9494E-04    1.4048E-03
   35    6.7961E-07   -1.4257E-07   -4.5764E+00    4.5648E-03    9.0350E-04   -6.9434E-04
   36    3.1481E-07   -7.4646E-09   -4.9055E+00    3.0615E-03    9.6060E-04   -2.8011E-03
   37   -1.2843E-06    7.6188E-08   -4.8809E+00    4.2552E-03    8.8797E-04    3.3970E-03
   38   -1.3713E-06   -1.2858E-07   -4.5436E+00    4.9546E-03    1.0099E-03    1.4215E-03
   39   -9.0829E-07   -3.2475E-08   -4.5432E+00    4.5313E-03    1.2179E-03   -7.1278E-04
   40    7.6416E-07   -7.6454E-08   -4.8778E+00    3.0427E-03    1.3403E-03   -2.8412E-03
   41    2.0838E-06    2.2540E-07   -4.8802E+00    4.0361E-03    9.7853E-04    3.4465E-03
   42   -1.0555E-06   -2.7006E-07   -4.5160E+00    4.6116E-03    1.2212E-03    1.4257E-03
   43    1.1999E-06   -1.1379E-07   -4.5148E+00    4.1870E-03    1.5285E-03   -7.6311E-04
   44    8.8605E-07    5.9150E-08   -4.8670E+00    2.8191E-03    1.7699E-03   -2.9121E-03
   45    8.0452E-07    6.1451E-07   -1.5159E-06   -2.6481E-03   -2.0208E-03   -2.8557E-02
   46    5.8400E-07   -1.1604E-06    2.2329E-06   -1.9896E-03   -2.1496E-03   -2.9477E-02
   47    1.3537E-07   -1.8128E-06    1.8171E-06   -1.3378E-03   -2.1089E-03   -2.9485E-02
   48   -3.1786E-07   -1.3355E-06    1.1817E-06   -8.2069E-04   -2.0848E-03   -2.9454E-02
   49   -6.9819E-07   -1.6010E-06    2.2388E-06   -3.8940E-04   -2.0734E-03   -2.9432E-02
   50   -7.1140E-08    1.0738E-06    2.4136E-07    3.7678E-06   -2.0698E-03   -2.9424E-02
   51    7.2838E-08   -2.2332E-06   -4.3149E-07    3.9715E-04   -2.0725E-03   -2.9430E-02
   52   -3.4434E-07    2.8930E-06    5.5514E-07    8.2916E-04   -2.0826E-03   -2.9450E-02
