 *************************************************************************
 ************		    DDM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Penny shape crack(section 3.1 of the companion paper)to verify the quadrilateral element                                  
 Modulus=  4.0000E+04  Poisson ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1038
 Number of nodes   :      1091
 Times of iteration:        59
 Computing time    :      9.62 s
 Coordinates of center of gravity and displacement discontinuities of each element:
  No.	     Gx            Gy            Gz            Dx            Dy           Dz 
    1   -7.2546E-01    2.6077E-02    0.0000E+00    0.0000E+00    0.0000E+00   -4.2294E-05
    2   -6.6510E-01    2.6091E-02    0.0000E+00    0.0000E+00    0.0000E+00   -4.5665E-05
    3   -6.0416E-01    2.6502E-02    0.0000E+00    0.0000E+00    0.0000E+00   -4.8562E-05
    4   -5.4305E-01    2.7076E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.1045E-05
    5   -4.8230E-01    2.7684E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.3164E-05
    6   -4.2130E-01    2.8237E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.4971E-05
    7   -3.6044E-01    2.8720E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.6485E-05
    8   -3.0008E-01    2.9154E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.7730E-05
    9   -2.3920E-01    2.9586E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.8734E-05
   10   -7.2618E-01    7.7780E-02    0.0000E+00    0.0000E+00    0.0000E+00   -4.2033E-05
   11   -6.6678E-01    7.8091E-02    0.0000E+00    0.0000E+00    0.0000E+00   -4.5380E-05
   12   -6.0676E-01    7.9355E-02    0.0000E+00    0.0000E+00    0.0000E+00   -4.8259E-05
   13   -5.4631E-01    8.1058E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.0738E-05
   14   -4.8574E-01    8.2854E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.2864E-05
   15   -4.2499E-01    8.4541E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.4678E-05
   16   -3.6425E-01    8.6048E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.6203E-05
   17   -3.0388E-01    8.7428E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.7458E-05
   18   -2.4341E-01    8.8795E-02    0.0000E+00    0.0000E+00    0.0000E+00   -5.8467E-05
   19   -7.2645E-01    1.2942E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.1567E-05
   20   -6.6820E-01    1.3012E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4887E-05
   21   -6.0919E-01    1.3225E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.7746E-05
   22   -5.4960E-01    1.3507E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.0213E-05
   23   -4.8964E-01    1.3804E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.2336E-05
   24   -4.2941E-01    1.4084E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.4151E-05
   25   -3.6907E-01    1.4336E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.5683E-05
   26   -3.0894E-01    1.4569E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.6947E-05
   27   -2.4891E-01    1.4800E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.7963E-05
   28   -7.2539E-01    1.8092E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.0941E-05
   29   -6.6850E-01    1.8208E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4224E-05
   30   -6.1069E-01    1.8512E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.7051E-05
   31   -5.5215E-01    1.8906E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.9494E-05
   32   -4.9308E-01    1.9320E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.1602E-05
