 *************************************************************************
 ************		    DDM3D_qua_part2		                    **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 23-5-2021		    **********
 *************************************************************************
 Title: Penny shape crack(section 3.1 of the companion paper)to verify the quadrilateral element                                               
 Modulus=  4.0000E+04  Poisson ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1038
 Number of nodes   :      1091
 Computing time    :     64.58 s
 Stresses and displacements at the centroid of each element in the respective local coordinate system:
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
    1    0.0000E+00    0.0000E+00   -9.9901E-01    5.3120E-07   -1.9009E-07   -2.1147E-05
    2    0.0000E+00    0.0000E+00   -9.9898E-01   -3.1995E-07   -2.7709E-07   -2.2832E-05
    3    0.0000E+00    0.0000E+00   -9.9890E-01   -1.0565E-06   -3.1562E-07   -2.4281E-05
    4    0.0000E+00    0.0000E+00   -9.9882E-01   -1.9542E-06   -4.0525E-07   -2.5523E-05
    5    0.0000E+00    0.0000E+00   -9.9876E-01   -2.7170E-06   -4.0414E-07   -2.6582E-05
    6    0.0000E+00    0.0000E+00   -9.9871E-01   -3.4560E-06   -4.1635E-07   -2.7485E-05
    7    0.0000E+00    0.0000E+00   -9.9867E-01   -4.2147E-06   -4.3525E-07   -2.8243E-05
    8    0.0000E+00    0.0000E+00   -9.9864E-01   -4.9351E-06   -4.3685E-07   -2.8865E-05
    9    0.0000E+00    0.0000E+00   -9.9864E-01   -5.4420E-06   -4.3227E-07   -2.9367E-05
   10    0.0000E+00    0.0000E+00   -9.9922E-01    4.9190E-07   -5.8464E-07   -2.1016E-05
   11    0.0000E+00    0.0000E+00   -9.9926E-01   -3.3028E-07   -7.0972E-07   -2.2690E-05
   12    0.0000E+00    0.0000E+00   -9.9921E-01   -1.1078E-06   -7.8400E-07   -2.4130E-05
   13    0.0000E+00    0.0000E+00   -9.9916E-01   -1.9214E-06   -8.5483E-07   -2.5369E-05
   14    0.0000E+00    0.0000E+00   -9.9912E-01   -2.6930E-06   -8.9307E-07   -2.6432E-05
   15    0.0000E+00    0.0000E+00   -9.9908E-01   -3.4307E-06   -9.2396E-07   -2.7339E-05
   16    0.0000E+00    0.0000E+00   -9.9905E-01   -4.1646E-06   -9.5654E-07   -2.8101E-05
   17    0.0000E+00    0.0000E+00   -9.9901E-01   -4.8859E-06   -9.7977E-07   -2.8729E-05
   18    0.0000E+00    0.0000E+00   -9.9895E-01   -5.4672E-06   -9.8749E-07   -2.9233E-05
   19    0.0000E+00    0.0000E+00   -9.9925E-01    4.6837E-07   -9.4242E-07   -2.0783E-05
   20    0.0000E+00    0.0000E+00   -9.9932E-01   -3.4451E-07   -1.0964E-06   -2.2444E-05
   21    0.0000E+00    0.0000E+00   -9.9928E-01   -1.1318E-06   -1.1942E-06   -2.3873E-05
   22    0.0000E+00    0.0000E+00   -9.9924E-01   -1.9147E-06   -1.2634E-06   -2.5106E-05
   23    0.0000E+00    0.0000E+00   -9.9920E-01   -2.6726E-06   -1.3123E-06   -2.6168E-05
   24    0.0000E+00    0.0000E+00   -9.9916E-01   -3.3999E-06   -1.3540E-06   -2.7076E-05
   25    0.0000E+00    0.0000E+00   -9.9913E-01   -4.1136E-06   -1.3968E-06   -2.7841E-05
   26    0.0000E+00    0.0000E+00   -9.9909E-01   -4.8244E-06   -1.4366E-06   -2.8474E-05
   27    0.0000E+00    0.0000E+00   -9.9901E-01   -5.4525E-06   -1.4630E-06   -2.8982E-05
   28    0.0000E+00    0.0000E+00   -9.9927E-01    4.4449E-07   -1.2618E-06   -2.0470E-05
   29    0.0000E+00    0.0000E+00   -9.9935E-01   -3.7260E-07   -1.4531E-06   -2.2112E-05
   30    0.0000E+00    0.0000E+00   -9.9932E-01   -1.1585E-06   -1.5714E-06   -2.3525E-05
   31    0.0000E+00    0.0000E+00   -9.9928E-01   -1.9235E-06   -1.6466E-06   -2.4747E-05
   32    0.0000E+00    0.0000E+00   -9.9925E-01   -2.6634E-06   -1.7017E-06   -2.5801E-05
   33    0.0000E+00    0.0000E+00   -9.9921E-01   -3.3748E-06   -1.7517E-06   -2.6705E-05
   34    0.0000E+00    0.0000E+00   -9.9918E-01   -4.0703E-06   -1.8044E-06   -2.7471E-05
   35    0.0000E+00    0.0000E+00   -9.9913E-01   -4.7651E-06   -1.8564E-06   -2.8104E-05
   36    0.0000E+00    0.0000E+00   -9.9904E-01   -5.4108E-06   -1.8969E-06   -2.8614E-05
   37    0.0000E+00    0.0000E+00   -9.9929E-01    3.9964E-07   -1.5578E-06   -2.0090E-05
   38    0.0000E+00    0.0000E+00   -9.9937E-01   -4.2377E-07   -1.7887E-06   -2.1704E-05
   39    0.0000E+00    0.0000E+00   -9.9935E-01   -1.2032E-06   -1.9277E-06   -2.3093E-05
   40    0.0000E+00    0.0000E+00   -9.9931E-01   -1.9509E-06   -2.0124E-06   -2.4295E-05
   41    0.0000E+00    0.0000E+00   -9.9928E-01   -2.6698E-06   -2.0745E-06   -2.5335E-05
   42    0.0000E+00    0.0000E+00   -9.9925E-01   -3.3609E-06   -2.1332E-06   -2.6229E-05
   43    0.0000E+00    0.0000E+00   -9.9921E-01   -4.0363E-06   -2.1967E-06   -2.6989E-05
   44    0.0000E+00    0.0000E+00   -9.9917E-01   -4.7115E-06   -2.2599E-06   -2.7621E-05
   45    0.0000E+00    0.0000E+00   -9.9908E-01   -5.3567E-06   -2.3121E-06   -2.8130E-05
   46    0.0000E+00    0.0000E+00   -9.9930E-01    3.2877E-07   -1.8388E-06   -1.9650E-05
   47    0.0000E+00    0.0000E+00   -9.9939E-01   -5.0296E-07   -2.1077E-06   -2.1224E-05
   48    0.0000E+00    0.0000E+00   -9.9936E-01   -1.2735E-06   -2.2674E-06   -2.2578E-05
   49    0.0000E+00    0.0000E+00   -9.9934E-01   -2.0010E-06   -2.3634E-06   -2.3751E-05
   50    0.0000E+00    0.0000E+00   -9.9931E-01   -2.6950E-06   -2.4344E-06   -2.4768E-05
   51    0.0000E+00    0.0000E+00   -9.9928E-01   -3.3610E-06   -2.5033E-06   -2.5646E-05
   52    0.0000E+00    0.0000E+00   -9.9925E-01   -4.0128E-06   -2.5790E-06   -2.6395E-05
   53    0.0000E+00    0.0000E+00   -9.9921E-01   -4.6644E-06   -2.6543E-06   -2.7020E-05
   54    0.0000E+00    0.0000E+00   -9.9911E-01   -5.2992E-06   -2.7179E-06   -2.7524E-05
   55    0.0000E+00    0.0000E+00   -9.9931E-01    2.3417E-07   -2.1077E-06   -1.9153E-05
   56    0.0000E+00    0.0000E+00   -9.9941E-01   -6.1148E-07   -2.4117E-06   -2.0673E-05
   57    0.0000E+00    0.0000E+00   -9.9939E-01   -1.3723E-06   -2.5924E-06   -2.1980E-05
   58    0.0000E+00    0.0000E+00   -9.9936E-01   -2.0759E-06   -2.7015E-06   -2.3113E-05
   59    0.0000E+00    0.0000E+00   -9.9933E-01   -2.7402E-06   -2.7834E-06   -2.4098E-05
   60    0.0000E+00    0.0000E+00   -9.9931E-01   -3.3761E-06   -2.8644E-06   -2.4951E-05
   61    0.0000E+00    0.0000E+00   -9.9928E-01   -3.9996E-06   -2.9539E-06   -2.5682E-05
   62    0.0000E+00    0.0000E+00   -9.9924E-01   -4.6229E-06   -3.0429E-06   -2.6294E-05
   63    0.0000E+00    0.0000E+00   -9.9915E-01   -5.2403E-06   -3.1185E-06   -2.6789E-05
   64    0.0000E+00    0.0000E+00   -9.9931E-01    1.1788E-07   -2.3688E-06   -1.8598E-05
   65    0.0000E+00    0.0000E+00   -9.9942E-01   -7.4657E-07   -2.7101E-06   -2.0051E-05
   66    0.0000E+00    0.0000E+00   -9.9940E-01   -1.4951E-06   -2.9160E-06   -2.1296E-05
   67    0.0000E+00    0.0000E+00   -9.9938E-01   -2.1704E-06   -3.0412E-06   -2.2376E-05
   68    0.0000E+00    0.0000E+00   -9.9936E-01   -2.7999E-06   -3.1353E-06   -2.3317E-05
   69    0.0000E+00    0.0000E+00   -9.9934E-01   -3.4007E-06   -3.2285E-06   -2.4136E-05
   70    0.0000E+00    0.0000E+00   -9.9931E-01   -3.9914E-06   -3.3312E-06   -2.4842E-05
   71    0.0000E+00    0.0000E+00   -9.9928E-01   -4.5812E-06   -3.4333E-06   -2.5435E-05
   72    0.0000E+00    0.0000E+00   -9.9919E-01   -5.1753E-06   -3.5183E-06   -2.5915E-05
   73    0.0000E+00    0.0000E+00   -9.9930E-01   -2.2437E-08   -2.6308E-06   -1.7983E-05
   74    0.0000E+00    0.0000E+00   -9.9943E-01   -8.9673E-07   -3.0380E-06   -1.9349E-05
   75    0.0000E+00    0.0000E+00   -9.9942E-01   -1.6230E-06   -3.2834E-06   -2.0517E-05
   76    0.0000E+00    0.0000E+00   -9.9940E-01   -2.2635E-06   -3.4263E-06   -2.1529E-05
   77    0.0000E+00    0.0000E+00   -9.9939E-01   -2.8548E-06   -3.5277E-06   -2.2415E-05
   78    0.0000E+00    0.0000E+00   -9.9937E-01   -3.4182E-06   -3.6254E-06   -2.3190E-05
   79    0.0000E+00    0.0000E+00   -9.9935E-01   -3.9736E-06   -3.7332E-06   -2.3861E-05
   80    0.0000E+00    0.0000E+00   -9.9932E-01   -4.5269E-06   -3.8391E-06   -2.4429E-05
   81    0.0000E+00    0.0000E+00   -9.9924E-01   -5.0935E-06   -3.9240E-06   -2.4889E-05
   82    0.0000E+00    0.0000E+00   -9.9929E-01   -1.9792E-07   -2.9054E-06   -1.7304E-05
   83    0.0000E+00    0.0000E+00   -9.9942E-01   -1.0420E-06   -3.4708E-06   -1.8554E-05
   84    0.0000E+00    0.0000E+00   -9.9943E-01   -1.7240E-06   -3.7734E-06   -1.9622E-05
   85    0.0000E+00    0.0000E+00   -9.9943E-01   -2.3236E-06   -3.9206E-06   -2.0552E-05
