 *************************************************************************
 ************		    FSM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Times of iteration:       209
 Computing time    :     44.08 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
    1    0.0000E+00    4.9990E+01    4.7500E+01   -1.0735E-02   -1.0948E-03   -2.1435E+00
    2    0.0000E+00    4.9990E+01    4.2500E+01   -1.8085E-02   -1.0376E-03   -2.0765E+00
    3    0.0000E+00    4.9990E+01    3.7500E+01   -9.9364E-03   -9.6064E-04   -2.0620E+00
    4    0.0000E+00    4.9990E+01    3.2500E+01   -5.0167E-03   -9.2333E-04   -2.0571E+00
    5    0.0000E+00    4.9990E+01    2.7500E+01   -1.5548E-03   -9.1062E-04   -2.0553E+00
    6    0.0000E+00    4.9990E+01    2.2500E+01    1.5039E-03   -9.1615E-04   -2.0553E+00
    7    0.0000E+00    4.9990E+01    1.7500E+01    4.9563E-03   -9.4171E-04   -2.0571E+00
    8    0.0000E+00    4.9990E+01    1.2500E+01    9.8446E-03   -1.0002E-03   -2.0620E+00
    9    0.0000E+00    4.9990E+01    7.5000E+00    1.7875E-02   -1.1450E-03   -2.0764E+00
   10    0.0000E+00    4.9990E+01    2.5000E+00    1.0068E-02   -1.6469E-03   -2.1427E+00
   11    0.0000E+00   -4.9990E+01    2.5000E+00   -1.0885E-02   -1.1684E-03   -2.1435E+00
   12    0.0000E+00   -4.9990E+01    7.5000E+00   -1.8187E-02   -1.0588E-03   -2.0764E+00
   13    0.0000E+00   -4.9990E+01    1.2500E+01   -1.0020E-02   -9.7619E-04   -2.0620E+00
   14    0.0000E+00   -4.9990E+01    1.7500E+01   -5.0949E-03   -9.3585E-04   -2.0571E+00
   15    0.0000E+00   -4.9990E+01    2.2500E+01   -1.6324E-03   -9.2017E-04   -2.0553E+00
   16    0.0000E+00   -4.9990E+01    2.7500E+01    1.4227E-03   -9.2366E-04   -2.0553E+00
   17    0.0000E+00   -4.9990E+01    3.2500E+01    4.8641E-03   -9.5004E-04   -2.0570E+00
   18    0.0000E+00   -4.9990E+01    3.7500E+01    9.7192E-03   -1.0189E-03   -2.0619E+00
   19    0.0000E+00   -4.9990E+01    4.2500E+01    1.7592E-02   -1.1944E-03   -2.0763E+00
   20    0.0000E+00   -4.9990E+01    4.7500E+01    8.9165E-03   -1.2390E-03   -2.1419E+00
   21    0.0000E+00   -4.7490E+01    5.0000E+01    2.8543E-01   -2.4630E-03    1.4344E-01
   22    0.0000E+00   -4.2491E+01    5.0000E+01    1.1084E-01   -1.0261E-03    3.8196E-02
   23    0.0000E+00   -3.7493E+01    5.0000E+01    6.3200E-02   -6.8928E-04    1.5271E-02
   24    0.0000E+00   -3.2493E+01    5.0000E+01    4.1017E-02   -6.2271E-04    6.5081E-03
   25    0.0000E+00   -2.7494E+01    5.0000E+01    2.8179E-02   -5.7780E-04    2.4729E-03
   26    0.0000E+00   -2.2495E+01    5.0000E+01    1.9740E-02   -5.4170E-04    4.1611E-04
   27    0.0000E+00   -1.7496E+01    5.0000E+01    1.3673E-02   -5.1520E-04   -6.7694E-04
   28    0.0000E+00   -1.2497E+01    5.0000E+01    8.9828E-03   -4.9831E-04   -1.2643E-03
   29    0.0000E+00   -7.4985E+00    5.0000E+01    5.0956E-03   -4.8906E-04   -1.5680E-03
   30    0.0000E+00   -2.4995E+00    5.0000E+01    1.6330E-03   -4.8511E-04   -1.6959E-03
   31    0.0000E+00    2.4995E+00    5.0000E+01   -1.6969E-03   -4.8525E-04   -1.6950E-03
   32    0.0000E+00    7.4985E+00    5.0000E+01   -5.1605E-03   -4.9046E-04   -1.5675E-03
   33    0.0000E+00    1.2497E+01    5.0000E+01   -9.0495E-03   -4.9991E-04   -1.2644E-03
   34    0.0000E+00    1.7496E+01    5.0000E+01   -1.3743E-02   -5.1560E-04   -6.7011E-04
   35    0.0000E+00    2.2495E+01    5.0000E+01   -1.9816E-02   -5.4119E-04    4.4012E-04
   36    0.0000E+00    2.7494E+01    5.0000E+01   -2.8269E-02   -5.8269E-04    2.5264E-03
   37    0.0000E+00    3.2493E+01    5.0000E+01   -4.1140E-02   -6.4807E-04    6.5980E-03
   38    0.0000E+00    3.7493E+01    5.0000E+01   -6.3383E-02   -7.1330E-04    1.5243E-02
   39    0.0000E+00    4.2491E+01    5.0000E+01   -1.1121E-01   -8.4548E-04    3.8095E-02
   40    0.0000E+00    4.7490E+01    5.0000E+01   -2.8624E-01   -1.6284E-03    1.4475E-01
   41    3.0362E+00   -4.9866E+01    4.7500E+01   -1.4976E-02   -1.3688E-01   -1.0319E-01
   42    3.0362E+00   -4.9866E+01    4.2500E+01   -1.6303E-02   -1.4623E-01   -4.8849E-02
   43    3.0362E+00   -4.9866E+01    3.7500E+01   -9.2432E-03   -1.4585E-01   -3.5290E-02
   44    3.0362E+00   -4.9866E+01    3.2500E+01   -4.6729E-03   -1.4562E-01   -3.0568E-02
   45    3.0362E+00   -4.9866E+01    2.7500E+01   -1.3715E-03   -1.4554E-01   -2.8890E-02
   46    3.0362E+00   -4.9866E+01    2.2500E+01    1.5741E-03   -1.4554E-01   -2.8895E-02
   47    3.0362E+00   -4.9866E+01    1.7500E+01    4.8918E-03   -1.4564E-01   -3.0583E-02
   48    3.0362E+00   -4.9866E+01    1.2500E+01    9.5086E-03   -1.4591E-01   -3.5311E-02
   49    3.0362E+00   -4.9866E+01    7.5000E+00    1.6730E-02   -1.4647E-01   -4.8847E-02
   50    3.0362E+00   -4.9866E+01    2.5000E+00    1.6908E-02   -1.3826E-01   -1.0394E-01
   51    7.0917E+00   -4.9452E+01    4.7500E+01   -8.6460E-03   -5.9362E-02   -5.4171E-02
   52    7.0917E+00   -4.9452E+01    4.2500E+01   -1.2470E-02   -6.4131E-02   -2.0685E-02
   53    7.0917E+00   -4.9452E+01    3.7500E+01   -8.0426E-03   -6.3406E-02   -9.2572E-03
