 *************************************************************************
 ************		    FSM3D_qua_part2		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                                     
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Computing time    :    173.44 s
Stresses and displacments at the controid of each element in the respective local coor
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
    1    1.9016E-09    9.6475E-10   -1.0000E+00   -1.3273E-05   -2.6622E-06   -1.2916E-04
    2   -8.1926E-09    1.6203E-09   -1.0000E+00   -1.0081E-05   -2.7567E-06   -1.3303E-04
    3   -8.7951E-09    9.2121E-10   -1.0000E+00   -6.7404E-06   -2.7930E-06   -1.3308E-04
    4   -6.8537E-10   -6.4946E-10   -1.0000E+00   -3.8490E-06   -2.8147E-06   -1.3292E-04
    5    6.3852E-09   -5.0966E-10   -1.0000E+00   -1.2399E-06   -2.8291E-06   -1.3283E-04
    6    3.2612E-09    1.7275E-10   -1.0000E+00    1.2783E-06   -2.8387E-06   -1.3282E-04
    7   -8.0456E-09   -3.7397E-10   -1.0000E+00    3.8847E-06   -2.8450E-06   -1.3290E-04
    8    2.0622E-09   -6.0495E-10   -1.0000E+00    6.7684E-06   -2.8501E-06   -1.3303E-04
    9   -7.8923E-10   -3.3409E-10   -1.0000E+00    1.0090E-05   -2.8574E-06   -1.3294E-04
   10   -3.1337E-09    2.4441E-10   -1.0000E+00    1.3241E-05   -2.8423E-06   -1.2900E-04
   11    8.4762E-09    3.5290E-09   -1.0000E+00   -1.3480E-05   -2.7015E-06   -1.2908E-04
   12   -6.6262E-10   -1.2325E-09   -1.0000E+00   -1.0290E-05   -2.7845E-06   -1.3294E-04
   13   -8.3622E-09   -9.1461E-10   -1.0000E+00   -6.9499E-06   -2.8132E-06   -1.3299E-04
   14    3.2525E-09    1.6365E-10   -1.0000E+00   -4.0602E-06   -2.8292E-06   -1.3283E-04
   15   -4.9008E-09   -2.6799E-10   -1.0000E+00   -1.4541E-06   -2.8383E-06   -1.3273E-04
   16   -1.0101E-08    3.1182E-10   -1.0000E+00    1.0591E-06   -2.8429E-06   -1.3272E-04
   17   -2.7414E-09   -9.4084E-10   -1.0000E+00    3.6569E-06   -2.8445E-06   -1.3279E-04
   18    8.8125E-09   -8.7621E-10   -1.0000E+00    6.5243E-06   -2.8449E-06   -1.3292E-04
   19    9.6321E-09   -9.0890E-10   -1.0000E+00    9.8079E-06   -2.8455E-06   -1.3281E-04
   20   -1.9088E-09   -4.2086E-09   -1.0000E+00    1.2871E-05   -2.7976E-06   -1.2878E-04
   21    3.3878E-08    2.4734E-09    1.0340E-08    8.5414E-05   -2.7506E-06    2.1854E-05
   22    1.1647E-08    3.1458E-10    8.8527E-10    6.3784E-05   -2.6061E-06    1.5959E-05
   23    2.2016E-11   -3.9071E-11    6.1927E-11    5.0281E-05   -2.5588E-06    1.1819E-05
   24   -3.4000E-11   -2.8830E-11   -8.8399E-10    4.0162E-05   -2.5605E-06    9.0857E-06
   25    9.7788E-11   -1.3925E-11   -8.4535E-10    3.1939E-05   -2.5567E-06    7.2183E-06
   26    1.9759E-09   -3.5893E-11   -1.6446E-10    2.4912E-05   -2.5484E-06    5.9201E-06
   27   -1.4919E-09   -5.9109E-11    8.6057E-11    1.8679E-05   -2.5403E-06    5.0231E-06
   28    1.6253E-10   -4.8186E-11    2.0118E-10    1.2979E-05   -2.5352E-06    4.4242E-06
   29    5.6787E-11   -4.5196E-11   -4.7702E-11    7.6215E-06   -2.5326E-06    4.0590E-06
   30    7.7111E-11   -4.5769E-11   -3.3545E-11    2.4568E-06   -2.5310E-06    3.8891E-06
   31    2.5357E-10   -4.4309E-11   -1.1138E-10   -2.6460E-06   -2.5302E-06    3.8968E-06
   32    1.6209E-10   -6.6488E-11   -2.0923E-10   -7.8119E-06   -2.5301E-06    4.0820E-06
   33    6.7647E-11   -8.6054E-11   -2.2931E-10   -1.3172E-05   -2.5311E-06    4.4628E-06
   34    5.3327E-10   -4.1391E-11   -1.9943E-10   -1.8876E-05   -2.5332E-06    5.0776E-06
   35   -2.0557E-09   -2.8873E-11   -1.7075E-10   -2.5115E-05   -2.5364E-06    5.9912E-06
   36   -1.6631E-09   -7.1465E-11   -2.2467E-10   -3.2154E-05   -2.5421E-06    7.3080E-06
   37    2.8183E-10   -6.2607E-11   -6.2745E-10   -4.0404E-05   -2.5537E-06    9.1996E-06
