 **************************************************************************************
 ************		        DDFS3D_tri_part1		             **********
 ************	             Algorithm developed by                          **********
 ************	   Kuriyama et al.(1993 & 1995), Tang et al. (2019)          **********
 ************			and Wong and Cui (2021)		             **********
 ************	      Codes developed by Wong and Cui (2021)	             **********
 ************ incorporating the contribution of Kuriyama et al.(1993 & 1995) **********
 ************	          DDFS3D (version 1.0), 31-5-2021		     **********
 **************************************************************************************
 Title: Flawed Brazilian disk(section S3-3 of the companion paper)to verify the triangular element                                
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3576
 Number of nodes   :      1794
 Times of iteration:        79
 Computing time    :    258.79 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
    1    4.7140E+00    4.7140E+00    4.8148E+01    7.3741E-03    9.4848E-04    4.8082E-15
    2    5.8926E+00    5.8926E+00    4.6296E+01   -6.1736E-03   -6.8706E-04    4.9764E-15
    3    1.1785E+00    1.1785E+00    4.8148E+01    8.9361E-03    3.6232E-04    4.5083E-15
    4    2.3570E+00    2.3570E+00    4.6296E+01   -8.9744E-03   -4.8181E-04    4.5739E-15
    5   -2.3570E+00   -2.3570E+00    4.8148E+01    8.5230E-03   -3.5359E-04    4.5703E-15
    6   -1.1785E+00   -1.1785E+00    4.6296E+01   -9.2733E-03    1.2231E-04    4.5136E-15
    7   -5.8926E+00   -5.8926E+00    4.8148E+01    5.8577E-03   -9.3020E-04    4.9843E-15
    8   -4.7140E+00   -4.7140E+00    4.6296E+01   -7.4851E-03    6.3312E-04    4.8054E-15
    9    4.7140E+00    4.7140E+00    4.2593E+01    7.7418E-03    5.0396E-04    4.8221E-15
   10    5.8926E+00    5.8926E+00    4.0741E+01   -6.2916E-03   -2.6896E-04    4.9980E-15
   11    1.1785E+00    1.1785E+00    4.2593E+01    9.5967E-03    2.5163E-04    4.5376E-15
   12    2.3570E+00    2.3570E+00    4.0741E+01   -9.2342E-03   -2.5645E-04    4.6113E-15
   13   -2.3570E+00   -2.3570E+00    4.2593E+01    9.2026E-03   -1.7708E-04    4.5952E-15
   14   -1.1785E+00   -1.1785E+00    4.0741E+01   -9.6105E-03    2.2102E-05    4.5535E-15
   15   -5.8926E+00   -5.8926E+00    4.2593E+01    6.2647E-03   -4.3584E-04    4.9850E-15
   16   -4.7140E+00   -4.7140E+00    4.0741E+01   -7.7347E-03    2.2414E-04    4.8355E-15
   17    4.7140E+00    4.7140E+00    3.7037E+01    7.7173E-03    2.4244E-04    4.8695E-15
   18    5.8926E+00    5.8926E+00    3.5185E+01   -6.2686E-03   -7.8636E-05    5.0481E-15
   19    1.1785E+00    1.1785E+00    3.7037E+01    9.5705E-03    1.4600E-04    4.5890E-15
   20    2.3570E+00    2.3570E+00    3.5185E+01   -9.1767E-03   -1.2421E-04    4.6637E-15
   21   -2.3570E+00   -2.3570E+00    3.7037E+01    9.1943E-03   -4.3075E-05    4.6462E-15
   22   -1.1785E+00   -1.1785E+00    3.5185E+01   -9.5543E-03   -3.2914E-05    4.6064E-15
   23   -5.8926E+00   -5.8926E+00    3.7037E+01    6.2795E-03   -1.8172E-04    5.0306E-15
   24   -4.7140E+00   -4.7140E+00    3.5185E+01   -7.7085E-03    3.2908E-05    4.8869E-15
   25    4.7140E+00    4.7140E+00    3.1481E+01    7.6694E-03    1.2958E-04    4.9180E-15
   26    5.8926E+00    5.8926E+00    2.9630E+01   -6.2400E-03   -1.0878E-06    5.0921E-15
   27    1.1785E+00    1.1785E+00    3.1481E+01    9.4971E-03    9.2932E-05    4.6366E-15
   28    2.3570E+00    2.3570E+00    2.9630E+01   -9.1154E-03   -6.6343E-05    4.7057E-15
   29   -2.3570E+00   -2.3570E+00    3.1481E+01    9.1286E-03    1.4737E-05    4.6940E-15
   30   -1.1785E+00   -1.1785E+00    2.9630E+01   -9.4862E-03   -5.6033E-05    4.6482E-15
   31   -5.8926E+00   -5.8926E+00    3.1481E+01    6.2491E-03   -7.6977E-05    5.0797E-15
   32   -4.7140E+00   -4.7140E+00    2.9630E+01   -7.6644E-03   -4.4892E-05    4.9300E-15
   33    4.7140E+00    4.7140E+00    2.5926E+01    7.6491E-03    8.1422E-05    4.9450E-15
   34    5.8926E+00    5.8926E+00    2.4074E+01   -6.2324E-03    3.4962E-05    5.1097E-15
   35    1.1785E+00    1.1785E+00    2.5926E+01    9.4650E-03    6.9767E-05    4.6625E-15
   36    2.3570E+00    2.3570E+00    2.4074E+01   -9.0977E-03   -4.0049E-05    4.7225E-15
   37   -2.3570E+00   -2.3570E+00    2.5926E+01    9.0977E-03    4.0777E-05    4.7201E-15
   38   -1.1785E+00   -1.1785E+00    2.4074E+01   -9.4650E-03   -7.0280E-05    4.6648E-15
   39   -5.8926E+00   -5.8926E+00    2.5926E+01    6.2324E-03   -3.3493E-05    5.1072E-15
   40   -4.7140E+00   -4.7140E+00    2.4074E+01   -7.6490E-03   -8.2908E-05    4.9472E-15
   41    4.7140E+00    4.7140E+00    2.0370E+01    7.6642E-03    4.3735E-05    4.9417E-15
   42    5.8926E+00    5.8926E+00    1.8519E+01   -6.2490E-03    7.8074E-05    5.0962E-15
   43    1.1785E+00    1.1785E+00    2.0370E+01    9.4860E-03    5.5879E-05    4.6597E-15
   44    2.3570E+00    2.3570E+00    1.8519E+01   -9.1283E-03   -1.4420E-05    4.7103E-15
   45   -2.3570E+00   -2.3570E+00    2.0370E+01    9.1151E-03    6.7363E-05    4.7172E-15
   46   -1.1785E+00   -1.1785E+00    1.8519E+01   -9.4967E-03   -9.3748E-05    4.6527E-15
   47   -5.8926E+00   -5.8926E+00    2.0370E+01    6.2398E-03    2.7204E-06    5.1036E-15
   48   -4.7140E+00   -4.7140E+00    1.8519E+01   -7.6691E-03   -1.3121E-04    4.9342E-15
   49    4.7140E+00    4.7140E+00    1.4815E+01    7.7080E-03   -3.3454E-05    4.9131E-15
   50    5.8926E+00    5.8926E+00    1.2963E+01   -6.2790E-03    1.8211E-04    5.0622E-15
   51    1.1785E+00    1.1785E+00    1.4815E+01    9.5536E-03    3.3253E-05    4.6323E-15
   52    2.3570E+00    2.3570E+00    1.2963E+01   -9.1935E-03    4.2764E-05    4.6773E-15
   53   -2.3570E+00   -2.3570E+00    1.4815E+01    9.1761E-03    1.2546E-04    4.6895E-15
   54   -1.1785E+00   -1.1785E+00    1.2963E+01   -9.5696E-03   -1.4711E-04    4.6199E-15
   55   -5.8926E+00   -5.8926E+00    1.4815E+01    6.2682E-03    8.0272E-05    5.0742E-15
   56   -4.7140E+00   -4.7140E+00    1.2963E+01   -7.7167E-03   -2.4407E-04    4.9005E-15
   57    4.7140E+00    4.7140E+00    9.2593E+00    7.7332E-03   -2.2348E-04    4.8778E-15
   58    5.8926E+00    5.8926E+00    7.4074E+00   -6.2630E-03    4.3467E-04    5.0332E-15
   59    1.1785E+00    1.1785E+00    9.2593E+00    9.6088E-03   -2.1052E-05    4.5953E-15
   60    2.3570E+00    2.3570E+00    7.4074E+00   -9.2005E-03    1.7580E-04    4.6431E-15
   61   -2.3570E+00   -2.3570E+00    9.2593E+00    9.2327E-03    2.5786E-04    4.6527E-15
   62   -1.1785E+00   -1.1785E+00    7.4074E+00   -9.5948E-03   -2.5295E-04    4.5848E-15
   63   -5.8926E+00   -5.8926E+00    9.2593E+00    6.2907E-03    2.7047E-04    5.0397E-15
   64   -4.7140E+00   -4.7140E+00    7.4074E+00   -7.7404E-03   -5.0548E-04    4.8690E-15
   65    4.7140E+00    4.7140E+00    3.7037E+00    7.4795E-03   -6.2953E-04    4.8656E-15
   66    5.8926E+00    5.8926E+00    1.8519E+00   -5.8495E-03    9.2459E-04    5.0409E-15
   67    1.1785E+00    1.1785E+00    3.7037E+00    9.2691E-03   -1.2050E-04    4.5739E-15
   68    2.3570E+00    2.3570E+00    1.8519E+00   -8.5176E-03    3.5134E-04    4.6345E-15
   69   -2.3570E+00   -2.3570E+00    3.7037E+00    8.9710E-03    4.8300E-04    4.6325E-15
   70   -1.1785E+00   -1.1785E+00    1.8519E+00   -8.9315E-03   -3.6302E-04    4.5741E-15
   71   -5.8926E+00   -5.8926E+00    3.7037E+00    6.1716E-03    6.8853E-04    5.0339E-15
   72   -4.7140E+00   -4.7140E+00    1.8519E+00   -7.3708E-03   -9.4987E-04    4.8726E-15
   73    2.3398E+00   -4.9909E+01    4.6296E+01   -7.3224E+00   -7.5258E+01   -3.7807E+01
   74    3.6797E+00   -4.9828E+01    4.8148E+01    2.8335E+00    4.6828E+01   -3.7792E+01
   75    2.3398E+00   -4.9909E+01    4.0741E+01   -4.2859E+00   -7.1872E+01   -2.3914E+01
   76    3.6797E+00   -4.9828E+01    4.2593E+01    5.3121E+00    4.7108E+01   -1.4619E+01
   77    2.3398E+00   -4.9909E+01    3.5185E+01   -1.9370E+00   -7.1810E+01   -2.0374E+01
   78    3.6797E+00   -4.9828E+01    3.7037E+01    2.6176E+00    4.6551E+01   -9.6622E+00
   79    2.3398E+00   -4.9909E+01    2.9630E+01   -5.9174E-01   -7.1871E+01   -1.9180E+01
   80    3.6797E+00   -4.9828E+01    3.1481E+01    1.0499E+00    4.6464E+01   -8.0256E+00
   81    2.3398E+00   -4.9909E+01    2.4074E+01    4.3974E-01   -7.1892E+01   -1.8953E+01
   82    3.6797E+00   -4.9828E+01    2.5926E+01   -6.7075E-02    4.6453E+01   -7.5446E+00
   83    2.3398E+00   -4.9909E+01    1.8519E+01    1.5337E+00   -7.1861E+01   -1.9492E+01
   84    3.6797E+00   -4.9828E+01    2.0370E+01   -1.1284E+00    4.6463E+01   -7.7988E+00
   85    2.3398E+00   -4.9909E+01    1.2963E+01    3.1267E+00   -7.1823E+01   -2.1254E+01
   86    3.6797E+00   -4.9828E+01    1.4815E+01   -2.4824E+00    4.6527E+01   -8.9837E+00
   87    2.3398E+00   -4.9909E+01    7.4074E+00    6.1591E+00   -7.2150E+01   -2.6631E+01
   88    3.6797E+00   -4.9828E+01    9.2593E+00   -4.6557E+00    4.6874E+01   -1.2337E+01
   89    2.3398E+00   -4.9909E+01    1.8519E+00    5.2539E+00   -7.2632E+01   -5.5067E+01
   90    3.6797E+00   -4.9828E+01    3.7037E+00   -6.9787E+00    4.8351E+01   -2.4800E+01
   91    6.3485E+00   -4.9559E+01    4.6296E+01   -3.6744E+00   -2.7710E+01   -1.7830E+01
   92    7.6775E+00   -4.9371E+01    4.8148E+01    1.1611E+00    2.1655E+01   -2.1316E+01
   93    6.3485E+00   -4.9559E+01    4.0741E+01   -3.5499E+00   -2.7258E+01   -8.1054E+00
   94    7.6775E+00   -4.9371E+01    4.2593E+01    3.7703E+00    2.3006E+01   -7.8933E+00
   95    6.3485E+00   -4.9559E+01    3.5185E+01   -1.8969E+00   -2.6904E+01   -5.0537E+00
   96    7.6775E+00   -4.9371E+01    3.7037E+01    2.3447E+00    2.2562E+01   -3.8322E+00
   97    6.3485E+00   -4.9559E+01    2.9630E+01   -6.9562E-01   -2.6804E+01   -3.9595E+00
   98    7.6775E+00   -4.9371E+01    3.1481E+01    1.1008E+00    2.2369E+01   -2.3672E+00
   99    6.3485E+00   -4.9559E+01    2.4074E+01    2.8500E-01   -2.6788E+01   -3.7355E+00
  100    7.6775E+00   -4.9371E+01    2.5926E+01    1.0943E-01    2.2316E+01   -1.9229E+00
  101    6.3485E+00   -4.9559E+01    1.8519E+01    1.3162E+00   -2.6828E+01   -4.2020E+00
  102    7.6775E+00   -4.9371E+01    2.0370E+01   -8.4627E-01    2.2347E+01   -2.1410E+00
  103    6.3485E+00   -4.9559E+01    1.2963E+01    2.6876E+00   -2.6990E+01   -5.7374E+00
  104    7.6775E+00   -4.9371E+01    1.4815E+01   -1.9876E+00    2.2497E+01   -3.1792E+00
  105    6.3485E+00   -4.9559E+01    7.4074E+00    4.5788E+00   -2.7489E+01   -1.0096E+01
  106    7.6775E+00   -4.9371E+01    9.2593E+00   -3.4538E+00    2.2905E+01   -5.9831E+00
