 **************************************************************************************
 ************		        DDFS3D_tri_part2		             **********
 ************	             Algorithm developed by                          **********
 ************	   Kuriyama et al.(1993 & 1995), Tang et al. (2019)          **********
 ************			and Wong and Cui (2021)		             **********
 ************	      Codes developed by Wong and Cui (2021)	             **********
 ************ incorporating the contribution of Kuriyama et al.(1993 & 1995) **********
 ************	          DDFS3D (version 1.0), 31-5-2021		     **********
 **************************************************************************************
 Title: Flawed Brazilian disk(section S3-3 of the companion paper)to verify the triangular element                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3576
 Number of nodes   :      1794
 Computing time    :    861.14 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
    1   -4.3867E-04   -4.0754E-07   -4.8082E+00    4.2379E-03   -9.1371E-04    2.9582E-03
    2   -2.3651E-05   -1.0472E-05   -4.9764E+00   -3.7589E-03    9.3986E-04    3.6019E-03
    3   -4.5444E-04   -1.5088E-05   -4.5083E+00    4.6142E-03   -1.2043E-03    7.6170E-04
    4    3.3444E-04   -2.8565E-05   -4.5739E+00   -4.7727E-03    1.0398E-03    1.4933E-03
    5   -3.6702E-04   -2.5433E-05   -4.5703E+00    3.9821E-03   -1.5613E-03   -1.5096E-03
    6    4.1172E-04   -1.3199E-05   -4.5136E+00   -4.4965E-03    1.3403E-03   -7.4271E-04
    7   -1.5312E-06    2.3756E-08   -4.9843E+00    2.2622E-03   -1.8495E-03   -3.6305E-03
    8    3.9978E-04    8.3612E-06   -4.8054E+00   -3.1957E-03    1.5964E-03   -2.9056E-03
    9   -4.3375E-04    1.3775E-06   -4.8221E+00    4.4245E-03   -8.1794E-04    2.8473E-03
   10   -2.7225E-05   -1.1467E-05   -4.9980E+00   -3.8249E-03    8.2857E-04    3.5160E-03
   11   -4.4484E-04   -7.6814E-07   -4.5376E+00    4.9429E-03   -9.4104E-04    7.2100E-04
   12    3.4990E-04   -1.7167E-05   -4.6113E+00   -4.9034E-03    8.3149E-04    1.4484E-03
   13   -3.5072E-04   -3.2741E-07   -4.5952E+00    4.3183E-03   -1.1550E-03   -1.4606E-03
   14    4.4524E-04   -9.0319E-06   -4.5535E+00   -4.6626E-03    9.6937E-04   -7.1555E-04
   15    2.4691E-05    1.4937E-05   -4.9850E+00    2.4587E-03   -1.2861E-03   -3.5356E-03
   16    4.3202E-04    5.5761E-06   -4.8355E+00   -3.3139E-03    1.0720E-03   -2.8252E-03
   17   -4.3256E-04    2.3157E-07   -4.8695E+00    4.4183E-03   -6.2134E-04    2.7947E-03
   18   -2.6821E-05   -1.1661E-05   -5.0481E+00   -3.8218E-03    5.9289E-04    3.4656E-03
   19   -4.3756E-04    1.8701E-06   -4.5890E+00    4.9304E-03   -6.6656E-04    7.0603E-04
   20    3.5108E-04   -1.1035E-05   -4.6637E+00   -4.8771E-03    5.6680E-04    1.4253E-03
   21   -3.4654E-04    4.7873E-06   -4.6462E+00    4.3102E-03   -7.6090E-04   -1.4313E-03
   22    4.4448E-04   -5.9981E-06   -4.6064E+00   -4.6321E-03    6.1125E-04   -7.0483E-04
   23    2.2912E-05    1.3559E-05   -5.0306E+00    2.4561E-03   -8.3230E-04   -3.4773E-03
   24    4.3457E-04    2.6353E-06   -4.8869E+00   -3.2932E-03    6.4573E-04   -2.7852E-03
   25   -4.2833E-04   -5.4528E-07   -4.9180E+00    4.3994E-03   -3.4013E-04    2.7695E-03
   26   -2.2986E-05   -1.2111E-05   -5.0921E+00   -3.8128E-03    2.9111E-04    3.4416E-03
   27   -4.3613E-04    3.2393E-06   -4.6366E+00    4.8944E-03   -3.5588E-04    6.9989E-04
   28    3.4571E-04   -8.2124E-06   -4.7058E+00   -4.8480E-03    2.5561E-04    1.4152E-03
   29   -3.4863E-04    6.6765E-06   -4.6940E+00    4.2740E-03   -3.9476E-04   -1.4185E-03
   30    4.3647E-04   -4.2429E-06   -4.6482E+00   -4.5964E-03    2.5975E-04   -7.0039E-04
   31    2.5500E-05    1.2864E-05   -5.0797E+00    2.4329E-03   -4.4245E-04   -3.4476E-03
   32    4.2719E-04    1.4292E-06   -4.9301E+00   -3.2659E-03    2.6649E-04   -2.7667E-03
   33   -4.2583E-04   -1.0002E-06   -4.9450E+00    4.3905E-03   -1.9665E-05    2.7611E-03
   34   -2.2377E-05   -1.2532E-05   -5.1097E+00   -3.8088E-03   -3.6602E-05    3.4362E-03
   35   -4.3503E-04    3.6320E-06   -4.6625E+00    4.8782E-03   -2.3489E-05    6.9793E-04
   36    3.4736E-04   -7.3123E-06   -4.7225E+00   -4.8387E-03   -7.6426E-05    1.4129E-03
   37   -3.4639E-04    7.3830E-06   -4.7201E+00    4.2571E-03   -3.7672E-05   -1.4144E-03
   38    4.3482E-04   -3.6564E-06   -4.6648E+00   -4.5851E-03   -9.2370E-05   -6.9948E-04
   39    2.7062E-05    1.2050E-05   -5.1072E+00    2.4215E-03   -7.6148E-05   -3.4375E-03
   40    4.3011E-04    5.9899E-07   -4.9472E+00   -3.2574E-03   -9.8047E-05   -2.7627E-03
   41   -4.3124E-04   -1.3122E-06   -4.9417E+00    4.3944E-03    3.0713E-04    2.7658E-03
   42   -2.4552E-05   -1.2586E-05   -5.0962E+00   -3.8106E-03   -3.5976E-04    3.4472E-03
   43   -4.3924E-04    4.5552E-06   -4.6597E+00    4.8874E-03    3.1463E-04    6.9903E-04
   44    3.4583E-04   -6.4078E-06   -4.7103E+00   -4.8511E-03   -4.0781E-04    1.4174E-03
   45   -3.4552E-04    8.1302E-06   -4.7172E+00    4.2667E-03    3.2080E-04   -1.4171E-03
   46    4.3869E-04   -3.3742E-06   -4.6527E+00   -4.6016E-03   -4.4814E-04   -7.0167E-04
   47    2.2819E-05    1.2161E-05   -5.1036E+00    2.4285E-03    2.8766E-04   -3.4440E-03
   48    4.2932E-04    6.3629E-07   -4.9342E+00   -3.2715E-03   -4.6674E-04   -2.7720E-03
   49   -4.3201E-04   -2.7435E-06   -4.9131E+00    4.4081E-03    6.0912E-04    2.7850E-03
