 *************************************************************************
 ************		    DDM3D_tri_part1		                    **********
 ************	        Algorithm developed by                  **********
 ************	 Kuriyama et al.(1993) and Tang et al. (2019)   **********
 ************	   Codes developed by Wong and Cui (2021)	    **********
 ************	       DDFS3D (version 1.0), 31-5-2021		    **********
 *************************************************************************
 Title: Penny shape crack (section S3-1 of the companion paper) to verify the triangular element                                 
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:       731
 Number of nodes   :       398
 Times of iteration:        54
 Computing time    :     10.65 s
 Coordinates of center of gravity and displacement discontinuities of each element:
  No.	     Gx            Gy            Gz            Dx            Dy           Dz 
    1    3.4301E-01    8.7496E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.3223E-05
    2   -1.4651E-01    8.4303E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2918E-05
    3   -3.5607E-01    9.0211E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8454E-05
    4   -6.0749E-01    7.6183E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7304E-05
    5   -7.4652E-01    6.2640E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7239E-05
    6   -6.9937E-01    5.4821E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9480E-05
    7   -7.9313E-01    3.9903E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9606E-05
    8   -8.3166E-01    1.8140E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3428E-05
    9    8.3334E-01   -9.0395E-02    0.0000E+00    0.0000E+00    0.0000E+00   -3.4346E-05
   10   -8.6379E-01   -2.0342E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9513E-05
   11   -8.0796E-01   -3.7116E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9572E-05
