 *************************************************************************
 ************		    DDM3D_tri_part2		        **********
 ************	        Algorithm developed by                  **********
 ************	 Kuriyama et al.(1993) and Tang et al. (2019)   **********
 ************	   Codes developed by Wong and Cui (2021)	**********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Penny shape crack (section S3-1 of the companion paper) to verify the triangular element                                        
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:       731
 Number of nodes   :       731
 Computing time    :     41.78 s
Stresses and displacments at the controid of each element in the respective local coordinate system(s)
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
    1    0.0000E+00    0.0000E+00   -9.9964E-01   -1.8784E-07   -6.9277E-06   -1.1612E-05
    2    0.0000E+00    0.0000E+00   -9.9935E-01    1.6538E-06   -6.2477E-06   -1.6459E-05
    3    0.0000E+00    0.0000E+00   -9.9972E-01   -6.0179E-06   -3.9000E-06   -9.2271E-06
    4    0.0000E+00    0.0000E+00   -9.9972E-01   -6.0247E-06   -4.1083E-06   -8.6520E-06
    5    0.0000E+00    0.0000E+00   -9.9972E-01   -6.0165E-06   -4.1230E-06   -8.6193E-06
    6    0.0000E+00    0.0000E+00   -9.9948E-01   -6.7492E-06   -1.3855E-07   -1.4740E-05
    7    0.0000E+00    0.0000E+00   -9.9947E-01   -6.7393E-06    4.5636E-08   -1.4803E-05
    8    0.0000E+00    0.0000E+00   -9.9947E-01   -4.9222E-06    4.0874E-06   -1.6714E-05
    9    0.0000E+00    0.0000E+00   -9.9943E-01   -6.2265E-06   -8.7914E-07   -1.7173E-05
   10    0.0000E+00    0.0000E+00   -9.9946E-01   -6.7179E-06   -3.7689E-08   -1.4756E-05
   11    0.0000E+00    0.0000E+00   -9.9945E-01   -6.6652E-06   -3.6935E-07   -1.4786E-05
   12    0.0000E+00    0.0000E+00   -9.9960E-01   -6.1872E-06    3.0330E-06   -1.1654E-05
   13    0.0000E+00    0.0000E+00   -9.9942E-01   -5.8444E-06   -3.0798E-06   -1.5322E-05
