 *************************************************************************
 ************		    FSM3D_tri_part1		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Times of iteration:       239
 Computing time    :    321.10 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
    1    2.3398E+00   -4.9909E+01    4.6296E+01   -2.8306E-02   -1.9665E-01   -9.8220E-02
    2    3.6797E+00   -4.9828E+01    4.8148E+01    2.0179E-02    1.2308E-01   -1.0613E-01
    3    2.3398E+00   -4.9909E+01    4.0741E+01   -1.5212E-02   -1.9489E-01   -5.5805E-02
    4    3.6797E+00   -4.9828E+01    4.2593E+01    1.8130E-02    1.2685E-01   -3.2099E-02
    5    2.3398E+00   -4.9909E+01    3.5185E+01   -7.2059E-03   -1.9442E-01   -4.6241E-02
    6    3.6797E+00   -4.9828E+01    3.7037E+01    8.8647E-03    1.2546E-01   -1.7968E-02
    7    2.3398E+00   -4.9909E+01    2.9630E+01   -2.5675E-03   -1.9432E-01   -4.3156E-02
    8    3.6797E+00   -4.9828E+01    3.1481E+01    3.6619E-03    1.2504E-01   -1.3600E-02
    9    2.3398E+00   -4.9909E+01    2.4074E+01    1.0009E-03   -1.9431E-01   -4.2537E-02
   10    3.6797E+00   -4.9828E+01    2.5926E+01   -8.8827E-06    1.2494E-01   -1.2343E-02
   11    2.3398E+00   -4.9909E+01    1.8519E+01    4.7823E-03   -1.9439E-01   -4.3797E-02
   12    3.6797E+00   -4.9828E+01    2.0370E+01   -3.4910E-03    1.2501E-01   -1.2953E-02
