 *************************************************************************
 ************		    FSM3D_tri_part2		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                                      
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Computing time    :    826.73 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
    1   -6.7017E-06   -5.0170E-05   -2.4361E-05   -1.4326E-05   -4.7817E-06   -8.5107E-05
    2    5.6304E-06    3.0836E-05   -2.7208E-05    1.3282E-05    5.0148E-06   -6.9751E-05
    3   -3.5804E-06   -4.9577E-05   -1.3551E-05   -9.7424E-06   -4.8432E-06   -8.5539E-05
    4    4.7498E-06    3.2025E-05   -8.4835E-06    1.0458E-05    6.5106E-06   -7.1947E-05
    5   -1.6007E-06   -4.9437E-05   -1.1087E-05   -5.8922E-06   -4.7640E-06   -8.5145E-05
    6    2.3326E-06    3.1773E-05   -4.9425E-06    6.6910E-06    6.4113E-06   -7.1602E-05
    7   -4.4394E-07   -4.9410E-05   -1.0286E-05   -2.6455E-06   -4.7318E-06   -8.4909E-05
    8    9.9512E-07    3.1643E-05   -3.8587E-06    3.4120E-06    6.3252E-06   -7.1318E-05
    9    4.5682E-07   -4.9419E-05   -1.0108E-05    3.5222E-07   -4.7421E-06   -8.4852E-05
   10    6.1494E-08    3.1621E-05   -3.5586E-06    4.3388E-07    6.3060E-06   -7.1208E-05
   11    1.4269E-06   -4.9427E-05   -1.0408E-05    3.3993E-06   -4.7950E-06   -8.4969E-05
   12   -8.2075E-07    3.1650E-05   -3.7287E-06   -2.5025E-06    6.3529E-06   -7.1269E-05
   13    2.8429E-06   -4.9523E-05   -1.1500E-05    6.8083E-06   -4.9015E-06   -8.5270E-05
   14   -1.9438E-06    3.1736E-05   -4.5282E-06   -5.6529E-06    6.4739E-06   -7.1508E-05
   15    5.6305E-06   -4.9836E-05   -1.5185E-05    1.0942E-05   -5.0507E-06   -8.5672E-05
   16   -3.7828E-06    3.1978E-05   -6.9240E-06   -9.2608E-06    6.6647E-06   -7.1910E-05
   17    8.1928E-06   -4.9023E-05   -3.9032E-05    1.5096E-05   -4.2278E-06   -8.3318E-05
   18   -6.4528E-06    3.2807E-05   -1.6932E-05   -1.2952E-05    6.3987E-06   -7.1752E-05
   19   -3.7687E-06   -1.8978E-05   -1.1610E-05   -1.0090E-05   -2.1894E-06   -5.5660E-05
   20    2.2824E-06    1.4078E-05   -1.4810E-05    8.7303E-06    7.8364E-07   -4.8811E-05
   21   -3.1329E-06   -1.8576E-05   -3.9994E-06   -8.0855E-06   -3.1458E-06   -5.5989E-05
   22    3.4545E-06    1.5493E-05   -4.4728E-06    8.1790E-06    3.2877E-06   -5.0308E-05
   23   -1.6652E-06   -1.8249E-05   -1.7333E-06   -5.1358E-06   -3.0922E-06   -5.5645E-05
   24    2.0492E-06    1.5163E-05   -1.4479E-06    5.7497E-06    3.4644E-06   -5.0057E-05
   25   -6.2528E-07   -1.8140E-05   -9.4418E-07   -2.2782E-06   -3.0165E-06   -5.5423E-05
   26    9.5823E-07    1.5008E-05   -4.1287E-07    3.0597E-06    3.3872E-06   -4.9806E-05
   27    2.2991E-07   -1.8123E-05   -7.7187E-07    4.6835E-07   -3.0128E-06   -5.5370E-05
   28    1.1166E-07    1.4959E-05   -1.1568E-07    4.2405E-07    3.3560E-06   -4.9706E-05
   29    1.1387E-06   -1.8173E-05   -1.0699E-06    3.2404E-06   -3.0902E-06   -5.5483E-05
   30   -6.9470E-07    1.4989E-05   -2.8125E-07   -2.1985E-06    3.4090E-06   -4.9764E-05
   31    2.3647E-06   -1.8352E-05   -2.1284E-06    6.1548E-06   -3.2354E-06   -5.5764E-05
   32   -1.6517E-06    1.5118E-05   -1.0367E-06   -4.8799E-06    3.5371E-06   -4.9982E-05
   33    4.1788E-06   -1.8822E-05   -5.3672E-06    9.0380E-06   -3.2484E-06   -5.6090E-05
   34   -2.9002E-06    1.5444E-05   -3.1423E-06   -7.5035E-06    3.6011E-06   -5.0309E-05
   35    3.5341E-06   -1.7984E-05   -1.8181E-05    1.0115E-05   -1.1784E-06   -5.4678E-05
   36   -3.4249E-06    1.5640E-05   -9.7851E-06   -9.0527E-06    2.5301E-06   -5.0088E-05
   37   -1.9125E-06   -1.1081E-05   -7.5971E-06   -6.9908E-06    1.2201E-06   -4.1096E-05
   38    9.4194E-07    8.6478E-06   -9.0628E-06    6.0403E-06   -2.3142E-06   -3.6645E-05
   39   -2.2833E-06   -1.1314E-05   -2.7498E-06   -6.2145E-06   -2.7334E-07   -4.1567E-05
   40    2.2113E-06    9.9606E-06   -3.1452E-06    5.9865E-06    9.9539E-08   -3.7920E-05
   41   -1.4364E-06   -1.1039E-05   -8.7435E-07   -4.2373E-06   -4.6247E-07   -4.1348E-05
   42    1.5860E-06    9.8291E-06   -8.4961E-07    4.5475E-06    6.3203E-07   -3.7841E-05
   43   -6.0436E-07   -1.0902E-05   -1.4862E-07   -1.9447E-06   -4.3836E-07   -4.1167E-05
   44    8.0378E-07    9.6812E-06    6.8019E-08    2.5266E-06    6.7765E-07   -3.7659E-05
   45    1.5175E-07   -1.0874E-05    1.6418E-08    3.9473E-07   -4.3970E-07   -4.1122E-05
   46    9.2746E-08    9.6296E-06    3.4902E-07    3.5554E-07    6.7359E-07   -3.7578E-05
   47    9.4047E-07   -1.0939E-05   -2.6755E-07    2.7313E-06   -5.0018E-07   -4.1222E-05
   48   -5.9744E-07    9.6615E-06    1.9792E-07   -1.8308E-06    7.1253E-07   -3.7629E-05
   49    1.8606E-06   -1.1136E-05   -1.2255E-06    4.9808E-06   -5.5171E-07   -4.1444E-05
   50   -1.3329E-06    9.7953E-06   -4.7803E-07   -3.9365E-06    7.5847E-07   -3.7801E-05
   51    2.7478E-06   -1.1424E-05   -3.7419E-06    6.7334E-06   -2.0704E-07   -4.1603E-05
   52   -2.0251E-06    1.0012E-05   -2.1663E-06   -5.6751E-06    5.5167E-07   -3.7993E-05
   53    1.5432E-06   -1.0314E-05   -1.0920E-05    6.9257E-06    2.0718E-06   -4.0380E-05
   54   -1.7723E-06    9.7046E-06   -6.3432E-06   -6.3244E-06   -8.8926E-07   -3.7597E-05
   55   -8.8491E-07   -7.3778E-06   -4.8690E-06   -4.9057E-06    3.7422E-06   -3.1202E-05
   56    2.8060E-07    5.8866E-06   -5.5135E-06    4.2800E-06   -4.5390E-06   -2.7946E-05
   57   -1.4857E-06   -7.9180E-06   -1.8975E-06   -4.5577E-06    2.1761E-06   -3.1805E-05
   58    1.3010E-06    7.0491E-06   -2.0856E-06    4.2820E-06   -2.4686E-06   -2.9085E-05
   59   -1.0970E-06   -7.7988E-06   -4.8097E-07   -3.2804E-06    1.7437E-06   -3.1748E-05
   60    1.1200E-06    7.1192E-06   -4.7786E-07    3.4147E-06   -1.7194E-06   -2.9181E-05
   61   -5.0019E-07   -7.6883E-06    1.3909E-07   -1.5505E-06    1.6620E-06   -3.1633E-05
   62    6.1995E-07    7.0302E-06    2.7234E-07    1.9657E-06   -1.5237E-06   -2.9092E-05
   63    1.1808E-07   -7.6603E-06    2.8642E-07    3.2407E-07    1.6409E-06   -3.1602E-05
   64    6.8831E-08    6.9869E-06    5.2024E-07    2.7533E-07   -1.4787E-06   -2.9041E-05
   65    7.4845E-07   -7.7250E-06    3.2493E-08    2.1767E-06    1.6270E-06   -3.1676E-05
   66   -4.7891E-07    7.0198E-06    3.8928E-07   -1.4470E-06   -1.4660E-06   -2.9079E-05
   67    1.3620E-06   -7.8659E-06   -7.6924E-07    3.8151E-06    1.7262E-06   -3.1810E-05
   68   -9.9336E-07    7.1107E-06   -1.7402E-07   -3.0167E-06   -1.5373E-06   -2.9185E-05
   69    1.6839E-06   -7.9073E-06   -2.5708E-06    4.8694E-06    2.3442E-06   -3.1784E-05
   70   -1.3054E-06    7.1678E-06   -1.4298E-06   -4.1476E-06   -1.9718E-06   -2.9227E-05
   71    6.3055E-07   -6.7992E-06   -6.7451E-06    4.8881E-06    4.4028E-06   -3.0667E-05
   72   -8.6169E-07    6.6347E-06   -4.0058E-06   -4.4687E-06   -3.4367E-06   -2.8708E-05
   73   -3.0247E-07   -5.2042E-06   -2.9251E-06   -3.4674E-06    5.5707E-06   -2.3674E-05
   74   -9.1423E-08    4.1894E-06   -3.1104E-06    3.0649E-06   -6.1517E-06   -2.1162E-05
   75   -8.7756E-07   -5.8503E-06   -1.1550E-06   -3.2620E-06    4.1274E-06   -2.4344E-05
   76    6.7941E-07    5.1989E-06   -1.1872E-06    3.0265E-06   -4.4404E-06   -2.2173E-05
   77   -7.6266E-07   -5.8952E-06   -1.5591E-07   -2.4298E-06    3.5446E-06   -2.4434E-05
   78    7.1732E-07    5.4192E-06   -1.2605E-07    2.4761E-06   -3.6124E-06   -2.2406E-05
   79   -3.7587E-07   -5.8347E-06    3.3547E-07   -1.1735E-06    3.3574E-06   -2.4397E-05
   80    4.3462E-07    5.4083E-06    4.4329E-07    1.4604E-06   -3.2989E-06   -2.2412E-05
   81    8.8371E-08   -5.8173E-06    4.5777E-07    2.5677E-07    3.3121E-06   -2.4385E-05
   82    4.2490E-08    5.3888E-06    6.4619E-07    1.9991E-07   -3.2047E-06   -2.2396E-05
   83    5.5140E-07   -5.8567E-06    2.4507E-07    1.6579E-06    3.3522E-06   -2.4426E-05
